,0,1,2,3,4,5
967,50,9,46,8,1,0
968,90,16,84,14,2,0
969,92,16,87,14,1,0
970,129,26,123,17,0,0
971,96,18,93,16,0,0
972,75,11,72,11,0,0
973,120,24,113,19,1,0
974,58,11,56,7,0,0
975,107,19,91,16,0,0
976,46,7,44,6,0,0
977,124,24,118,22,0,0
978,116,23,111,18,0,0
979,135,23,129,18,0,0
980,84,11,67,10,0,0
981,118,23,113,16,1,0
982,73,14,72,12,1,0
983,102,24,101,21,0,0
984,93,18,90,14,0,0
985,84,20,79,18,0,0
986,52,9,49,7,0,0
987,119,20,116,15,0,0
988,38,9,36,7,0,0
989,61,12,59,10,0,0
990,105,16,97,15,1,0
991,22,3,19,3,0,0
992,35,7,32,6,0,0
